Segment,label,count,mean,median,min,max,<lambda_0>,<lambda_1>,<lambda_2>,<lambda_3>
0,QSL_Base,2,12622.5,12622.5,11626,13619,13419.7,13519.35,13599.07,0.0017557690180510612
0,RTSA_Details_Base,54,81916.83333333333,1511.0,0,1085135,3565.5000000000005,1084608.25,1085031.65,0.04740576348737865
0,RTSA_EDD_Base,55,80460.4,1464.0,0,1085085,3512.0000000000005,1084398.9,1084951.08,0.04828364799640418
0,SalesOrder_Base,2,7038.5,7038.5,5081,8996,8604.5,8800.25,8956.85,0.0017557690180510612
0,TnT_Base,5,126.2,82.0,65,237,211.8,224.39999999999998,234.48,0.004389422545127653
0,WG_Base,2,2645.5,2645.5,2509,2782,2754.7,2768.35,2779.27,0.0017557690180510612
1,QSL_Base,5,13953.6,12428.0,11879,20206,17339.2,18772.6,19919.32,0.002777507742302832
1,RTSA_Details_Base,1464,1935.995218579235,1533.0,0,17279,2313.5,2681.0999999999995,15523.499999999995,0.8132542669462691
1,RTSA_EDD_Base,1463,1932.9063568010936,1529.0,0,17425,2300.0,2740.7,15495.639999999996,0.8126987653978086
1,SalesOrder_Base,60,3922.383333333333,5210.0,645,15868,7243.6,8483.35,13345.159999999985,0.03333009290763398
1,TnT_Base,100,101.78,86.0,0,873,128.0,139.1,416.61000000000234,0.05555015484605663
1,WG_Base,60,2894.95,2420.5,0,17898,3335.5,4277.399999999998,12590.94999999997,0.03333009290763398
2,QSL_Base,59,16136.474576271186,14246.0,12338,59441,18150.8,20167.899999999998,53108.56000000002,0.03275632238661454
2,RTSA_Details_20Th,17330,2077.0545297172534,1783.0,1274,21560,2713.0,3319.5499999999993,5087.749999999978,9.62147571118695
2,SalesOrder_Base,60,8205.616666666667,7284.0,5288,24629,10442.6,14988.249999999998,21219.97999999998,0.033311514291472416
2,TnT_Base,100,105.72,82.5,67,1269,135.0,141.14999999999998,220.59000000000543,0.055519190485787365
2,WG_Base,60,5140.3,4133.5,2562,21118,6882.900000000001,11737.25,16823.389999999974,0.033311514291472416
3,QSL_Base,60,14459.783333333333,14020.5,12081,21985,16300.1,18037.749999999996,20773.729999999992,0.0333010867809671
3,RTSA_EDD_20Th,17878,2013.6872692694933,1801.0,1312,8289,2721.300000000001,3175.149999999998,4514.149999999998,9.922613824502163
3,SalesOrder_Base,60,6922.9,6418.0,5686,11816,8488.5,9254.75,11215.969999999996,0.0333010867809671
3,TnT_Base,100,94.19,84.0,65,337,117.0,144.34999999999997,280.5700000000003,0.05550181130161183
3,WG_Base,60,3642.733333333333,3442.5,2278,7984,4634.8,5235.7,7616.429999999998,0.0333010867809671
4,QSL_Base,57,21041.666666666668,18583.0,12283,91185,25151.999999999996,30109.399999999994,73388.19999999992,0.03163828009868923
4,RTSA_Details_40th,22276,3232.54471179745,2714.0,1323,30505,4668.5,5644.0,11508.0,12.364461885585989
4,SalesOrder_Base,60,10778.8,8805.5,5225,29505,18198.6,19457.749999999978,28764.549999999996,0.03330345273546235
4,TnT_Base,100,121.18,82.5,67,1116,134.10000000000002,255.89999999999966,949.6800000000009,0.05550575455910391
4,WG_Base,60,6094.616666666667,4800.0,2489,26039,8430.1,14965.449999999972,25715.089999999997,0.03330345273546235
5,QSL_Base,59,20245.93220338983,18064.0,12359,47923,27510.800000000007,32797.99999999996,45835.00000000001,0.03274170733020234
5,RTSA_EDD_40Th,23087,3119.3032009355916,2783.0,1332,13172,4671.4000000000015,5535.700000000001,7912.259999999995,12.811996561565786
5,SalesOrder_Base,60,12056.416666666666,11652.0,6375,24013,16661.3,17482.399999999994,21482.489999999987,0.033296651522239665
5,TnT_Base,100,110.24,94.0,68,521,167.60000000000005,200.0,287.3600000000012,0.05549441920373278
5,WG_Base,60,6001.816666666667,5379.5,2879,18349,9544.0,10653.999999999995,16531.79999999999,0.033296651522239665
6,QSL_Base,58,15230.172413793103,12597.0,10791,61715,18102.9,36466.049999999996,54136.85,0.032204921022983765
6,RTSA_Details_Base,1434,2012.5013947001394,1481.0,1226,25670,2179.4,2736.0499999999997,22258.70000000003,0.7962389094303227
6,RTSA_EDD_Base,1435,2025.418118466899,1495.0,1226,25451,2164.6000000000004,2968.5999999999985,22447.780000000006,0.7967941666893397
6,SalesOrder_Base,60,6329.5,5434.0,4795,23124,7678.300000000004,12526.949999999997,19182.209999999977,0.033315435541017686
6,TnT_Base,100,109.54,89.0,66,568,144.10000000000008,211.94999999999993,545.2300000000001,0.05552572590169614
6,WG_Base,60,3526.766666666667,2551.5,1975,15072,5143.300000000003,8658.94999999999,14714.459999999997,0.033315435541017686
7,QSL_Base,60,12649.6,11912.0,10842,22136,14258.0,18711.05,21341.859999999997,0.03331301239577191
7,RTSA_Details_Base,1503,1636.2794411177645,1470.0,1215,7970,2068.6,2587.899999999996,3831.6800000000003,0.8344909605140864
7,RTSA_EDD_Base,1502,1614.1657789613848,1451.0,1231,8135,1997.8000000000002,2542.4500000000007,3808.7200000000003,0.8339357436408236
7,SalesOrder_Base,60,5530.116666666667,5285.0,4839,11947,5821.2,7234.65,9375.779999999984,0.03331301239577191
7,TnT_4Th,20395,87.94209365040452,80.0,60,2299,111.0,130.0,201.0,11.323648130196137
7,WG_Base,60,2692.65,2421.5,2036,9056,3150.8,3967.9999999999973,7379.80999999999,0.03331301239577191
8,QSL_Base,60,12901.616666666667,12315.5,11084,17553,15337.2,16483.0,17399.01,0.03330959099708375
8,RTSA_Details_Base,1500,1655.922,1474.0,1218,9488,2003.2000000000003,2493.05,4581.1799999999985,0.8327397749270937
8,RTSA_EDD_Base,1500,1686.8453333333334,1495.0,1240,9794,2072.2000000000003,2466.999999999999,4977.19,0.8327397749270937
8,SalesOrder_Base,60,5462.083333333333,5200.5,4913,10861,5757.500000000001,6675.699999999996,9550.609999999993,0.03330959099708375
8,TnT_7Th,133334,94.29452352738237,85.0,57,2202,123.0,141.0,203.0,74.02168343341941
8,WG_Base,60,2438.3,2212.0,1909,6366,2987.6000000000004,3254.5499999999993,5374.799999999994,0.03330959099708375
9,QSL_Base,60,13511.2,12951.5,11106,18993,16486.5,17662.0,18574.69,0.03331253150810272
9,RTSA_Details_Base,1504,1678.1436170212767,1486.0,1257,6687,2271.8,2676.85,4174.090000000003,0.8350341231364414
9,RTSA_EDD_Base,1503,1671.7591483699268,1477.0,1241,6965,2286.8,2745.7,4048.3200000000024,0.834478914277973
9,SalesOrder_Base,60,6298.633333333333,5782.0,4898,11332,7720.700000000001,8781.5,10267.639999999994,0.03331253150810272
9,TnT_Base,100,112.4,84.0,67,1078,154.9000000000001,187.05,547.3600000000027,0.05552088584683786
9,WG_Base,60,3403.616666666667,3030.5,1981,9194,4765.200000000001,5978.75,7513.08999999999,0.03331253150810272
10,QSL_Base,60,17822.6,16913.5,12819,38657,23947.5,27721.099999999995,34080.36999999997,0.033303193942815085
10,RTSA_Details_20Th,11576,3110.3083102971664,2737.0,1124,18154,4812.0,5714.25,8111.25,6.4252962180337905
10,RTSA_EDD_20Th,11484,3135.5390107976314,2757.0,1318,18391,4902.200000000004,5770.85,8201.19,6.374231320654808
10,SalesOrder_Base,60,9793.2,8765.5,5603,25350,13796.5,14474.449999999986,22167.539999999983,0.033303193942815085
10,TnT_7Th,146575,85.78946614361249,79.0,55,3113,109.0,123.0,160.0,81.35692753613536
10,WG_Base,60,5431.133333333333,4813.0,2309,14719,7666.100000000001,10319.699999999995,13985.629999999996,0.033303193942815085
11,QSL_Base,60,13451.3,12368.0,11181,33137,15844.300000000001,16665.849999999984,28409.329999999973,0.03331604600723847
11,RTSA_Details_Base,1502,1714.8169107856193,1498.0,1234,7798,2190.8,2821.9,5315.240000000001,0.8340116850478696
11,RTSA_EDD_Base,1500,1714.518,1489.0,1196,10208,2159.1000000000004,2776.8499999999995,5211.11,0.8329011501809617
11,SalesOrder_Base,60,5439.233333333334,5208.0,4800,10162,5905.700000000001,7017.5499999999965,8994.979999999992,0.03331604600723847
11,TnT_Base,100,135.72,82.0,69,2216,149.60000000000005,176.59999999999997,1623.980000000003,0.05552674334539744
11,WG_Base,60,2536.5666666666666,2286.5,1814,8409,3062.5,3849.349999999996,6700.94999999999,0.03331604600723847
